Tidsstempel,pådrag,tank
2026-03-16 15:24:25,0,1
2026-03-16 15:24:27,0,1
2026-03-16 15:24:29,0,1
2026-03-16 15:24:31,0,1
2026-03-16 15:24:33,0,1
2026-03-16 15:24:35,0,1
2026-03-16 15:24:37,30,1
2026-03-16 15:24:39,30,1
2026-03-16 15:24:41,30,1
2026-03-16 15:24:43,30,1
2026-03-16 15:24:45,30,3
2026-03-16 15:24:47,30,4
2026-03-16 15:24:49,30,6
2026-03-16 15:24:51,30,7
2026-03-16 15:24:53,30,9
2026-03-16 15:24:55,30,10
2026-03-16 15:24:57,30,14
2026-03-16 15:24:59,30,13
2026-03-16 15:25:01,30,21
2026-03-16 15:25:03,30,16
2026-03-16 15:25:05,30,17
2026-03-16 15:25:07,30,17
2026-03-16 15:25:09,30,18
2026-03-16 15:25:11,30,22
2026-03-16 15:25:14,30,23
2026-03-16 15:25:16,30,22
2026-03-16 15:25:18,30,26
2026-03-16 15:25:20,30,28
2026-03-16 15:25:22,30,26
2026-03-16 15:25:24,30,26
2026-03-16 15:25:26,30,26
2026-03-16 15:25:28,30,29
2026-03-16 15:25:30,30,33
2026-03-16 15:25:32,30,33
2026-03-16 15:25:34,30,32
2026-03-16 15:25:36,30,35
2026-03-16 15:25:38,30,36
2026-03-16 15:25:40,30,33
2026-03-16 15:25:42,30,35
2026-03-16 15:25:44,30,34
2026-03-16 15:25:46,30,37
2026-03-16 15:25:48,30,38
2026-03-16 15:25:50,30,36
2026-03-16 15:25:52,30,39
2026-03-16 15:25:54,30,39
2026-03-16 15:25:57,30,42
2026-03-16 15:25:59,30,42
2026-03-16 15:26:01,30,40
2026-03-16 15:26:03,30,42
2026-03-16 15:26:05,30,41
2026-03-16 15:26:07,30,46
2026-03-16 15:26:09,30,44
2026-03-16 15:26:11,30,43
2026-03-16 15:26:13,30,42
2026-03-16 15:26:15,30,44
2026-03-16 15:26:17,30,48
2026-03-16 15:26:19,30,43
2026-03-16 15:26:21,30,45
2026-03-16 15:26:23,30,45
2026-03-16 15:26:25,30,48
2026-03-16 15:26:27,30,47
2026-03-16 15:26:29,30,45
2026-03-16 15:26:31,30,48
2026-03-16 15:26:33,30,48
2026-03-16 15:26:35,30,50
2026-03-16 15:26:38,30,49
2026-03-16 15:26:40,30,51
2026-03-16 15:26:42,30,50
2026-03-16 15:26:44,30,49
2026-03-16 15:26:46,30,48
2026-03-16 15:26:48,30,49
2026-03-16 15:26:50,30,49
2026-03-16 15:26:52,30,53
2026-03-16 15:26:54,30,54
2026-03-16 15:26:56,30,52
2026-03-16 15:26:58,30,52
2026-03-16 15:27:00,30,50
2026-03-16 15:27:02,30,53
2026-03-16 15:27:04,30,52
2026-03-16 15:27:06,30,53
2026-03-16 15:27:08,30,54
2026-03-16 15:27:10,30,53
2026-03-16 15:27:12,30,54
2026-03-16 15:27:14,30,54
2026-03-16 15:27:16,30,55
2026-03-16 15:27:19,30,55
2026-03-16 15:27:21,30,53
2026-03-16 15:27:23,30,52
2026-03-16 15:27:25,30,55
2026-03-16 15:27:27,30,52
2026-03-16 15:27:29,30,54
2026-03-16 15:27:31,30,54
2026-03-16 15:27:33,30,55
2026-03-16 15:27:35,30,60
2026-03-16 15:27:37,30,55
2026-03-16 15:27:39,30,56
2026-03-16 15:27:41,30,56
2026-03-16 15:27:43,30,55
2026-03-16 15:27:45,30,55
2026-03-16 15:27:47,30,54
2026-03-16 15:27:49,30,54
2026-03-16 15:27:51,30,55
2026-03-16 15:27:53,30,54
2026-03-16 15:27:55,30,55
2026-03-16 15:27:57,30,58
2026-03-16 15:27:59,30,58
2026-03-16 15:28:01,30,56
2026-03-16 15:28:03,30,55
2026-03-16 15:28:05,30,57
2026-03-16 15:28:07,30,56
2026-03-16 15:28:10,30,55
2026-03-16 15:28:12,30,56
2026-03-16 15:28:14,30,56
2026-03-16 15:28:16,30,58
2026-03-16 15:28:18,30,56
2026-03-16 15:28:20,30,59
2026-03-16 15:28:22,30,57
2026-03-16 15:28:24,30,56
2026-03-16 15:28:26,30,56
2026-03-16 15:28:28,30,56
2026-03-16 15:28:30,30,56
2026-03-16 15:28:32,30,60
2026-03-16 15:28:34,30,57
2026-03-16 15:28:36,30,55
2026-03-16 15:28:38,30,55
2026-03-16 15:28:40,30,56
2026-03-16 15:28:42,30,59
2026-03-16 15:28:44,30,58
2026-03-16 15:28:46,30,56
2026-03-16 15:28:48,30,55
2026-03-16 15:28:50,30,58
2026-03-16 15:28:52,30,56
2026-03-16 15:28:55,30,56
2026-03-16 15:28:57,30,57
2026-03-16 15:28:59,30,55
2026-03-16 15:29:01,30,58
2026-03-16 15:29:03,30,55
2026-03-16 15:29:05,30,58
2026-03-16 15:29:07,30,59
2026-03-16 15:29:09,30,60
2026-03-16 15:29:11,30,57
2026-03-16 15:29:13,30,58
2026-03-16 15:29:15,30,55
2026-03-16 15:29:17,30,59
2026-03-16 15:29:19,30,56
2026-03-16 15:29:21,30,59
2026-03-16 15:29:23,30,60
2026-03-16 15:29:25,30,58
2026-03-16 15:29:27,30,59
2026-03-16 15:29:29,30,57
2026-03-16 15:29:31,30,58
2026-03-16 15:29:33,30,56
2026-03-16 15:29:35,30,57
2026-03-16 15:29:37,30,59
2026-03-16 15:29:39,30,58
2026-03-16 15:29:41,30,57
2026-03-16 15:29:44,30,57
2026-03-16 15:29:46,30,57
