Tidsstempel,pådrag,tank
2026-04-28 15:18:54,37,19.0
2026-04-28 15:18:55,37,19.0
2026-04-28 15:18:56,37,19.0
2026-04-28 15:18:56,37,19.0
2026-04-28 15:18:57,37,19.0
2026-04-28 15:18:57,37,19.0
2026-04-28 15:18:58,37,19.0
2026-04-28 15:18:58,37,19.0
2026-04-28 15:18:59,36,20.0
2026-04-28 15:18:59,36,19.0
2026-04-28 15:19:00,36,19.0
2026-04-28 15:19:01,37,19.0
2026-04-28 15:19:01,36,19.0
2026-04-28 15:19:02,36,19.0
2026-04-28 15:19:02,35,20.0
2026-04-28 15:19:03,35,20.0
2026-04-28 15:19:03,35,20.0
2026-04-28 15:19:04,35,20.0
2026-04-28 15:19:04,35,20.0
2026-04-28 15:19:05,35,20.0
2026-04-28 15:19:06,35,20.0
2026-04-28 15:19:06,35,20.0
2026-04-28 15:19:07,35,20.0
2026-04-28 15:19:07,35,20.0
2026-04-28 15:19:08,35,20.0
2026-04-28 15:19:08,35,20.0
2026-04-28 15:19:09,35,20.0
2026-04-28 15:19:10,35,20.0
2026-04-28 15:19:10,35,20.0
2026-04-28 15:19:11,35,20.0
2026-04-28 15:19:11,35,20.0
2026-04-28 15:19:12,35,20.0
2026-04-28 15:19:12,35,20.0
2026-04-28 15:19:13,35,20.0
2026-04-28 15:19:13,35,20.0
2026-04-28 15:19:14,35,20.0
2026-04-28 15:19:14,35,20.0
2026-04-28 15:19:15,35,20.0
2026-04-28 15:19:16,35,20.0
2026-04-28 15:19:16,35,20.0
2026-04-28 15:19:17,35,20.0
2026-04-28 15:19:17,35,20.0
2026-04-28 15:19:18,35,20.0
2026-04-28 15:19:18,35,20.0
2026-04-28 15:19:19,35,20.0
2026-04-28 15:19:19,35,20.0
2026-04-28 15:19:20,35,20.0
2026-04-28 15:19:21,35,20.0
2026-04-28 15:19:21,35,20.0
2026-04-28 15:19:22,35,20.0
2026-04-28 15:19:22,35,20.0
2026-04-28 15:19:23,35,20.0
2026-04-28 15:19:23,35,20.0
2026-04-28 15:19:24,35,20.0
2026-04-28 15:19:24,35,20.0
