Tidsstempel,pådrag,tank
2026-03-18 10:54:40,25,38
2026-03-18 10:54:42,25,37
2026-03-18 10:54:44,25,36
2026-03-18 10:54:46,25,35
2026-03-18 10:54:48,25,36
2026-03-18 10:54:50,25,36
2026-03-18 10:54:53,25,35
2026-03-18 10:54:55,25,34
2026-03-18 10:54:57,25,34
2026-03-18 10:54:59,25,33
2026-03-18 10:55:01,25,34
2026-03-18 10:55:03,25,35
2026-03-18 10:55:05,25,35
2026-03-18 10:55:07,25,34
2026-03-18 10:55:09,25,33
2026-03-18 10:55:11,25,32
2026-03-18 10:55:13,25,32
2026-03-18 10:55:15,25,32
2026-03-18 10:55:17,25,32
2026-03-18 10:55:19,25,32
2026-03-18 10:55:21,25,35
2026-03-18 10:55:23,25,31
2026-03-18 10:55:25,25,31
2026-03-18 10:55:27,25,31
2026-03-18 10:55:29,25,31
2026-03-18 10:55:31,25,31
2026-03-18 10:55:33,35,31
2026-03-18 10:55:35,35,32
2026-03-18 10:55:37,35,35
2026-03-18 10:55:40,35,38
2026-03-18 10:55:42,35,41
2026-03-18 10:55:44,35,44
2026-03-18 10:55:46,35,46
2026-03-18 10:55:48,35,46
2026-03-18 10:55:50,35,48
2026-03-18 10:55:52,35,49
2026-03-18 10:55:54,35,51
2026-03-18 10:55:56,35,56
2026-03-18 10:55:58,35,55
2026-03-18 10:56:00,35,55
2026-03-18 10:56:02,35,57
2026-03-18 10:56:04,35,58
2026-03-18 10:56:06,35,58
2026-03-18 10:56:08,35,61
2026-03-18 10:56:10,35,63
2026-03-18 10:56:13,35,65
2026-03-18 10:56:15,35,65
2026-03-18 10:56:17,35,68
2026-03-18 10:56:19,35,69
2026-03-18 10:56:21,35,71
2026-03-18 10:56:23,35,70
2026-03-18 10:56:25,35,71
2026-03-18 10:56:27,35,74
2026-03-18 10:56:29,35,74
2026-03-18 10:56:31,35,77
2026-03-18 10:56:33,35,75
2026-03-18 10:56:35,35,78
2026-03-18 10:56:37,35,79
2026-03-18 10:56:39,35,80
2026-03-18 10:56:41,35,81
2026-03-18 10:56:43,35,82
2026-03-18 10:56:45,35,83
2026-03-18 10:56:47,35,83
2026-03-18 10:56:49,35,83
2026-03-18 10:56:51,35,85
2026-03-18 10:56:54,35,86
2026-03-18 10:56:56,35,87
2026-03-18 10:56:58,35,87
2026-03-18 10:57:00,35,88
2026-03-18 10:57:02,35,89
2026-03-18 10:57:04,35,89
2026-03-18 10:57:06,35,90
2026-03-18 10:57:08,35,90
2026-03-18 10:57:10,35,91
2026-03-18 10:57:12,35,92
2026-03-18 10:57:14,35,92
2026-03-18 10:57:16,35,93
2026-03-18 10:57:18,35,93
2026-03-18 10:57:20,35,94
2026-03-18 10:57:22,35,95
2026-03-18 10:57:24,35,95
2026-03-18 10:57:26,35,95
2026-03-18 10:57:28,35,96
2026-03-18 10:57:30,35,96
2026-03-18 10:57:32,35,98
2026-03-18 10:57:34,35,97
2026-03-18 10:57:36,35,102
2026-03-18 10:57:38,35,106
2026-03-18 10:57:40,35,106
2026-03-18 10:57:43,35,106
2026-03-18 10:57:45,35,107
2026-03-18 10:57:47,35,106
2026-03-18 10:57:49,35,104
2026-03-18 10:57:51,35,105
2026-03-18 10:57:53,35,105
2026-03-18 10:57:55,35,105
2026-03-18 10:57:57,35,106
2026-03-18 10:57:59,35,105
2026-03-18 10:58:01,35,105
2026-03-18 10:58:03,35,105
2026-03-18 10:58:05,35,106
2026-03-18 10:58:07,35,106
2026-03-18 10:58:09,35,105
2026-03-18 10:58:11,35,105
2026-03-18 10:58:13,35,106
2026-03-18 10:58:15,35,105
2026-03-18 10:58:17,35,106
2026-03-18 10:58:19,35,104
2026-03-18 10:58:21,35,105
2026-03-18 10:58:23,35,106
2026-03-18 10:58:25,35,106
2026-03-18 10:58:27,35,105
2026-03-18 10:58:30,35,106
2026-03-18 10:58:32,35,106
2026-03-18 10:58:34,35,105
2026-03-18 10:58:36,35,106
2026-03-18 10:58:38,35,105
2026-03-18 10:58:40,35,103
2026-03-18 10:58:42,35,105
2026-03-18 10:58:44,35,104
2026-03-18 10:58:46,35,106
2026-03-18 10:58:48,35,104
2026-03-18 10:58:50,35,105
2026-03-18 10:58:52,35,105
2026-03-18 10:58:54,35,105
2026-03-18 10:58:56,35,105
2026-03-18 10:58:58,35,105
2026-03-18 10:59:00,35,106
2026-03-18 10:59:02,35,106
2026-03-18 10:59:04,35,106
2026-03-18 10:59:06,35,105
2026-03-18 10:59:08,35,105
2026-03-18 10:59:10,35,104
2026-03-18 10:59:12,35,105
2026-03-18 10:59:14,35,105
2026-03-18 10:59:16,35,105
2026-03-18 10:59:19,35,105
2026-03-18 10:59:21,35,106
2026-03-18 10:59:23,35,105
2026-03-18 10:59:25,35,104
2026-03-18 10:59:27,35,105
2026-03-18 10:59:29,35,105
2026-03-18 10:59:31,35,105
2026-03-18 10:59:33,35,106
2026-03-18 10:59:35,35,105
2026-03-18 10:59:37,35,105
2026-03-18 10:59:39,35,103
2026-03-18 10:59:41,35,105
